,company_id_r,company_name,company_ua,counts
99,418142.0,"ПрАТ ""КУП'ЯНСЬКИЙ МКК""",1.0,10
15,11900979.0,PIONEER PEKAO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,0.0,9
18,131268.0,"ВАТ ""Донецькобленерго""",1.0,6
66,213428.0,"ПАТ ""Запоріжтрансформатор""",1.0,5
78,278801.0,ВАТ Жидачівський целюлозо-паперовий комбінат,1.0,5
95,382013.0,Вінницька кондитерська фабрика,1.0,5
93,381048.0,Товариство з додатковою відповідальністю Продовольча компанія Ясен,1.0,4
19,131564.0,"ПАТ ""Прикарпаттяобленерго""",1.0,3
24,135390.0,"ПАТ""Укрнафта""",1.0,3
37,190762.0,"ВАТ ""Тернопільвтормет""",1.0,2
33,186520.0,"ПАТ ""Нікопольський завод феросплавів""",1.0,2
48,191158.0,"ПАТ ""Металургійний комбінат ""АЗОВСТАЛЬ""",1.0,2
31,153488.0,"Публічне акціонерне товариство ""Грета""",1.0,2
73,223941.0,"ПАТ ""Дашуківські бентоніти""",1.0,2
1,017733.0,"АСК ""УКРРІЧФЛОТ""",1.0,2
74,239008.0,"ВАТ ""Науково-дослідний інститут фермерських машин""",1.0,2
75,275820.0,"Колективне підприємство ""Карпатліс""",1.0,1
83,310261.0,"ПрАТ ""Підволочиська фабрика пластмасових виробів """,1.0,1
82,292988.0,"ПАТ""Івано-Франківськцемент""",1.0,1
81,292942.0,"ВАТ ""Краматорський цементний завод - Пушка""",1.0,1
67,214267.0,"ВАТ ""Ватра""",1.0,1
80,292445.0,ПАТ Коростишівський карєр,1.0,1
69,214534.0,ПАТ ЗАВОД Південкабель,1.0,1
77,278735.0,"ПАТ ""МАЛИНСЬКА ПАПЕРОВА ФАБРИКА - ВАЙДМАН""",1.0,1
70,217107.0,ВАТ СКБ МЕТ,1.0,1
71,222226.0,"ВАТ ""Запорізький абразивний комбінат""",1.0,1
72,222373.0,"ПАТ ""Крісталіст""",1.0,1
76,276038.0,"ПАТ ""Український проектно-конструкторський технологічний інститут лісової промисловості""",1.0,1
85,311237.0,ТОВЛьон-Броди,1.0,1
86,372641.0,ПАТ Горохівський цукровий завод,1.0,1
102,444085.0,"ВАТ ""Полісся""",1.0,1
111,953295.0,ВАТ Хмільницький елеватор,1.0,1
110,951787.0,"ВАТ ""Переяславський експериментальний комбінат хлібопродуктів""""",1.0,1
109,951741.0,"ЗАТ ""Васильківхлібопродукт""",1.0,1
108,7707049388.0,"Public Joint-Stock Company of Long-Distance and International Telecommunications ""Rostelecom""",0.0,1
107,481241.0,"Хімфармзавод ""червона зірка""",1.0,1
106,480945.0,"ПАТ ""Полтавський завод медичного скла""",1.0,1
105,447862.0,Чернівецький міськмолокозавод,1.0,1
104,447451.0,Харківський молочний комбінат,1.0,1
103,445535.0,"""ВАТ ""Севлюш-СИР""",1.0,1
101,443803.0,"ВАТ""Золочівський м'ясокомбінат""",1.0,1
87,372658.0,"ВАТ ""Гнідавський цукровий завод""",1.0,1
100,443795.0,Дрогобицький мясокомбінат,1.0,1
98,413475.0,"ВАТ ""Агропромислова фірма ""Таврія""",1.0,1
97,382384.0,"ПАТ ""Чернігівська макаронна фабрика""",1.0,1
96,382214.0,"ПрАТ ""РВІНЕНСЬКА КОНДИТЕРСЬКА ФАБРИКА""",1.0,1
92,375993.0,"ПРАТ""Ємільчинський хлібзавод""",1.0,1
90,375987.0,ПРАТ РОДИНА,1.0,1
89,373758.0,"ПАТ ""Вінницький олійножировий комбінат""",1.0,1
88,373497.0,"ВАТ ""Пальмірський цукровий завод""",1.0,1
56,191885.0,"ВАТ ""запоріжвогнетрив""",1.0,1
62,211004.0,"ПРИВАТНЕ АКЦIОНЕРНЕ ТОВАРИСТВО ""БЕРИСЛАВСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД""",1.0,1
34,186536.0,"ПАТ ""Дніпроспецсталь""",1.0,1
30,152388.0,"ПАТ ""НПК Галичина""",1.0,1
27,148429.0,"ПАТ ""Інститут транспорту нафти""",1.0,1
26,147134.0,"ПАТ ""Український нафтогазовий інститут""",1.0,1
25,14078425.0,ТУГЕВ СЕЕДЕР ,0.0,1
21,131713.0,"ПАТ ""ОДЕСАОБЛЕНЕРГО""",1.0,1
20,131587.0,"ВАТ ""Львівобленерго""",1.0,1
17,121146.0,ПАТ Південьтеплоенергомонтаж,1.0,1
14,039019.0,"ПАТ ""Укрсоцбанк""",1.0,1
13,032129.0,Ощадний банк,1.0,1
32,178353.0,"Відкрите акціонерне товариство ""Павлоградвугілля""",1.0,1
35,186542.0,"ПАТ ""Запорізький завод феросплавів""",1.0,1
61,210602.0,"ПАТ ""Енергомашспецсталь""",1.0,1
60,209775.0,ПАТ Науково-дослідний інститут склопластиків і волокна,1.0,1
59,204777.0,"КТ ""ТОВ ""Запорізький автогенний завод"" і компанія""",1.0,1
58,203708.0,"ВАТ ""Олімп-круг""",1.0,1
54,191230.0,"ПАТ ""Запоріжсталь""",1.0,1
46,191135.0,"ВАТ ""Харцизький трубний завод""",1.0,1
45,191129.0,"ПРАТ ""ММК ІМ.ІЛЛІЧА""",1.0,1
43,191052.0,"ПАТ ""Дружківський завод металевих виробів""",1.0,1
41,191000.0,"ПАТ ""Південний ГЗК""",1.0,1
39,190905.0,"ПАТ ""ІНГЗК""",1.0,1
112,956916.0,"ВАТ ""Жашківський елеватор""",1.0,1
