company_id,company_name,company_ua,counts
02070944,Київський національний університет імені Тараса Шевченка,1.0,3
22907278,Інститут законодавства Верховної Ради України,1.0,2
40632877,КНИГОЛАВ,1.0,2
141488,NOVEMBE VENTURES LIMITED,0.0,2
02070938,Національний університет харчових технологій,1.0,2
00013480,Міністерство фінансів України,1.0,4
16459396,"Національний університет ""Києво-Могилянська академія""",1.0,3
38912910,ДЖУІШ МЕДІА,1.0,1
38890410,товариство з обмеженою відповідальністю НОВИНИ-ТВ,1.0,1
38891366,ГРОМАДСЬКА СПІЛКА 'МІЖКОНФЕСІЙНА РАДА УКРАЇНИ',1.0,1
38892474,"Світова Федерація Укранських Лемківських Об""єднань",1.0,1
00000000,Почесне Консульство Королівства Таїланд в Україні,1.0,1
38937117,МАКРОПЛАЗА,1.0,1
38941647,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ 'ПЕРЕХРЕСТЯ ПЛЮС ІНК',1.0,1
38949688,ІНТЕРАКТИВНА МЕДІА ПЛАТФОРМА,1.0,1
38956873,Укрсвіс Легал Сервісис,1.0,1
38940732,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ 'КОСМО МОЛ ІНК',1.0,1
38781141,Юридичний портал Ратіо Деціденді,1.0,1
38822685,ТОВ УПК,1.0,1
38798160,СХІДНОЄВРОПЕЙСЬКИЙ КОЛЕГІУМ ТЕРИТОРІАЛЬНОЇ ДЕРЖАВНОЇ СЛУЖБИ ТА МІСЦЕВОГО САМОВРЯДУВАННЯ,1.0,1
38992335,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ РЕФІН,1.0,1
38780682,"ТОВ ""Інвестиційно-будівельна компанія ""Альянс-Груп""",1.0,1
38778647,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ МІЖРЕГІОНАЛЬНА ПЕЛЕТНА КОМПАНІЯ,1.0,1
38749768,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ НЬЮС НЕТВОРК,1.0,2
387459,VERES HOLDING LIMITED,0.0,1
38740702,ВОГ Ритейл,1.0,1
38727367,ФМ КОНСАЛТ,1.0,1
38714714,"ТОВ ""РЕМБУД-ПРОЕКТ""",1.0,1
38965689,ЄВРОТОН-ЕКСКЛЮЗИВ,1.0,1
38995577,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ 'МІРАЛЬЯНС',1.0,1
38993370,ІНФОРМАЦІЙНЕ АГЕНТСТВО 112.ЮЕЙ,1.0,1
39248682,ІРВІС-ІНВЕСТ,1.0,1
39346776,ТОВ СІОРА,1.0,1
39344590,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""АСОЦІАЦІЯ ПОДАТКОВИХ РАДНИКІВ""",1.0,1
39325379,УКРАЇНСЬКА ХОЛДИНГОВА ЛІСОПИЛЬНА КОМПАНІЯ,1.0,1
39323848,Авіаційна група,1.0,1
39321641,ТРЕВЕЛ ПРОФЕШНЛ ГРУП УЖГОРОД,1.0,1
39305530,"Товариство з обмеженою відповідальністю ""ІНТЕРШИНА УА""",1.0,1
39286361,ТОВ ГОЛДЕН-ФІШ,1.0,1
39281541,ФГ «УРОЖАЙ СЛ»,1.0,1
39272280,"Товариство з обмеженою відповідальністю ""ІНТЕР-ТРАКС""",1.0,1
39249885,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «Е-волюція»,1.0,1
39246643,ТОВ РИБОЛОВ-2014,1.0,1
38669431,БЛАГОДІЙНА ОРГАНІЗАЦІЯ БЛАГОДІЙНИЙ ФОНД ОБИРАЄМО МАЙБУТНЄ РАЗОМ,1.0,1
39245220,НАРОДНИЙ ПОГЛЯД,1.0,1
39228191,ЗАКРИТИЙ НЕДИВЕРСИФІКОВАНИЙ ВЕНЧУРНИЙ КОРПОРАТИВНИЙ ІНВЕСТИЦІЙНИЙ ФОНД ВОГ ІНВЕСТ,1.0,1
39187447,Товариство з обмеженою відповідальністю НЮ АРТ,1.0,1
39159069,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ДРУЖБА БРАНЧ,1.0,1
39153491,ТОВ 'Оскол-Аква',1.0,1
39148440,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ АГРОХОЛДИНГ ЗОРЯ,1.0,1
39086297,ТОВ Любинецький млин,1.0,1
39023931,ТУРИСТИЧНА ПРОФЕСІЙНА ГРУПА,1.0,1
39018963,ТОВ КРАБСБУРГЕР,1.0,1
