id,created_datetime,index,document_type,year,full_name,office,position,position_type,position_category,corruptionAffected,relation_type,person,persons,company_ua,company_id,company_name,description,emitent_citizen,paid,full_name_office_position,unique_guids
nacp_0bc6dacd-c8ce-4d63-a9c7-98c7cdcac81d,2020-01-04 14:41:19,691.0,Щорічна,2019,Богомазов Павло Сергійович,Верховна Рада України,ПОМІЧНИК-КОНСУЛЬТАНТ НАРОДНОГО ДЕПУТАТА УКРАЇНИ,,,Ні,8.0,,,1.0,42069557,"АДВОКАТСЬКЕ ОБ'ЄДНАННЯ ""БОГОМАЗОВ ТА ПАРТНЕРИ""",,,,богомазов павло сергійович верховна рада україни помічник-консультант народного депутата україни,1
nacp_0bc6dacd-c8ce-4d63-a9c7-98c7cdcac81d,2020-01-04 14:41:19,691.0,Щорічна,2019,Богомазов Павло Сергійович,Верховна Рада України,ПОМІЧНИК-КОНСУЛЬТАНТ НАРОДНОГО ДЕПУТАТА УКРАЇНИ,,,Ні,15.0,,,1.0,41000562,"громадська організація ""Рух нових сил Михайла Саакашвілі""",голова,"Юридична особа, зареєстрована в Україні",Не оплачувана,богомазов павло сергійович верховна рада україни помічник-консультант народного депутата україни,1
nacp_0bc6dacd-c8ce-4d63-a9c7-98c7cdcac81d,2020-01-04 14:41:19,691.0,Щорічна,2019,Богомазов Павло Сергійович,Верховна Рада України,ПОМІЧНИК-КОНСУЛЬТАНТ НАРОДНОГО ДЕПУТАТА УКРАЇНИ,,,Ні,15.0,,,1.0,40528675,"громадська організація ""Національна антикорупційна платформа""",голова,"Юридична особа, зареєстрована в Україні",Не оплачувана,богомазов павло сергійович верховна рада україни помічник-консультант народного депутата україни,1
nacp_0bc6dacd-c8ce-4d63-a9c7-98c7cdcac81d,2020-01-04 14:41:19,691.0,Щорічна,2019,Богомазов Павло Сергійович,Верховна Рада України,ПОМІЧНИК-КОНСУЛЬТАНТ НАРОДНОГО ДЕПУТАТА УКРАЇНИ,,,Ні,15.0,,,1.0,42069557,"адвокатське об'єднання ""БОГОМАЗОВ ТА ПАРТНЕРИ""",керуючий партнер,"Юридична особа, зареєстрована в Україні",Не оплачувана,богомазов павло сергійович верховна рада україни помічник-консультант народного депутата україни,1
nacp_0bc6dacd-c8ce-4d63-a9c7-98c7cdcac81d,2020-01-04 14:41:19,691.0,Щорічна,2019,Богомазов Павло Сергійович,Верховна Рада України,ПОМІЧНИК-КОНСУЛЬТАНТ НАРОДНОГО ДЕПУТАТА УКРАЇНИ,,,Ні,15.0,,,,,,помічник-консультант народного депутата України,Громадянин України,Оплачувана,богомазов павло сергійович верховна рада україни помічник-консультант народного депутата україни,1
nacp_e3d6a3e4-4ba5-49fc-9c4d-bcd88a3ebb53,2020-01-27 07:46:28,731.0,Щорічна,2019,Саєнко Богдан Олександрович,Апарат Верховної Ради України,помічник-консультант народного депутата,Посада державної служби,Б,Так,15.0,,,1.0,42840113,"АО ""ЮК""Капітал""",адвокат,"Юридична особа, зареєстрована в Україні",Оплачувана,саєнко богдан олександрович апарат верховної ради україни помічник-консультант народного депутата,1
nacp_d11fa4a7-a6b4-4773-8263-a6c82d921ad1,2020-01-28 13:23:51,143.0,Щорічна,2019,Сухов Олександр Сергійович,Апарат Верховної Ради України,Народний депутат України ,Посада державної служби,А,Так,9.0,1,,1.0,,АО Вельможний та партнери,,,,сухов олександр сергійович апарат верховної ради україни народний депутат україни ,1
nacp_1d5a2391-85cd-4000-b76d-9977b23f4a7a,2020-01-29 19:31:08,485.0,Щорічна,2019,Федоренко Ігор Петрович,тимчасово не працюю,Кандидат на посаду - Народний Депутат України,Посадова особа юридичної особи публічного права,,Ні,9.0,1580300055293,,1.0,32978289,ЄВРОЕКСПОРТ,,,,федоренко ігор петрович тимчасово не працюю кандидат на посаду - народний депутат україни,1
nacp_1d5a2391-85cd-4000-b76d-9977b23f4a7a,2020-01-29 19:31:08,485.0,Щорічна,2019,Федоренко Ігор Петрович,тимчасово не працюю,Кандидат на посаду - Народний Депутат України,Посадова особа юридичної особи публічного права,,Ні,8.0,,,1.0,32978289,ЄВРОЕКСПОРТ,,,,федоренко ігор петрович тимчасово не працюю кандидат на посаду - народний депутат україни,1
nacp_fe018969-05bd-4801-9902-85707b956711,2020-01-30 13:20:06,552.0,Щорічна,2019,Храпатий Сергій Вікторович,Верховна Рада України,помічник-консультант народного депутата України,Посада державної служби,,Ні,8.0,,,1.0,41501607,ЄС ПАРТНЕРС,,,,храпатий сергій вікторович верховна рада україни помічник-консультант народного депутата україни,1
