id,created_datetime,index,document_type,year,full_name,office,position,position_type,position_category,corruptionAffected,relation_type,org_name,org_type,org_id,org_unit_name,org_unit_type,full_name_office_position,unique_guids
nacp_0bc6dacd-c8ce-4d63-a9c7-98c7cdcac81d,2020-01-04 14:41:19,691.0,Щорічна,2019,Богомазов Павло Сергійович,Верховна Рада України,ПОМІЧНИК-КОНСУЛЬТАНТ НАРОДНОГО ДЕПУТАТА УКРАЇНИ,,,Ні,16.0,ПОЛІТИЧНА ПАРТІЯ РУХ НОВИХ СИЛ МИХАЙЛА СААКАШВІЛІ,Громадське об’єднання,39634331,org,org,богомазов павло сергійович верховна рада україни помічник-консультант народного депутата україни,1
nacp_35cd7c41-c181-441d-9009-2688c68c25db,2020-01-04 23:53:30,556.0,Щорічна,2019,Кіхтан Оксана Ярославівна,Верховна Рада України,помічник - консультант Народного депутата України ,,,Ні,16.0,ПОЛІТИЧНА ПАРТІЯ РУХ НОВИХ СИЛ МИХАЙЛА СААКАШВІЛІ,Громадське об’єднання,39634331,org,org,кіхтан оксана ярославівна верховна рада україни помічник - консультант народного депутата україни ,1
nacp_1d5a2391-85cd-4000-b76d-9977b23f4a7a,2020-01-29 19:31:08,485.0,Щорічна,2019,Федоренко Ігор Петрович,тимчасово не працюю,Кандидат на посаду - Народний Депутат України,Посадова особа юридичної особи публічного права,,Ні,16.0,МІЖНАРОДНА АСОЦІАЦІЯ БІЗНЕСУ ТА ЕКОНОМІКИ,Громадське об’єднання,36557003,org,org,федоренко ігор петрович тимчасово не працюю кандидат на посаду - народний депутат україни,1
nacp_fe018969-05bd-4801-9902-85707b956711,2020-01-30 13:20:06,552.0,Щорічна,2019,Храпатий Сергій Вікторович,Верховна Рада України,помічник-консультант народного депутата України,Посада державної служби,,Ні,16.0,Рада представників вищих навчальних закладів України,Громадське об’єднання,41051601,org,org,храпатий сергій вікторович верховна рада україни помічник-консультант народного депутата україни,1
nacp_d6fafb22-879a-4175-8d21-a6fc193bfa0d,2020-01-31 21:28:57,639.0,Щорічна,2019,Дубінська Світлана Вікторівна,Апарат Верховної Ради України,Помічник-консультант народного депутата України,,,Ні,16.0,Київська обласна партійна організація Політичної Партії Республіканців,Громадське об’єднання,38726363,Керівник,Керівні органи,дубінська світлана вікторівна апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_d6fafb22-879a-4175-8d21-a6fc193bfa0d,2020-01-31 21:28:57,639.0,Щорічна,2019,Дубінська Світлана Вікторівна,Апарат Верховної Ради України,Помічник-консультант народного депутата України,,,Ні,16.0,Громадська організація РЕСПУБЛІКАНЦІ,Громадське об’єднання,42407587,Правління,Керівні органи,дубінська світлана вікторівна апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_d6fafb22-879a-4175-8d21-a6fc193bfa0d,2020-01-31 21:28:57,639.0,Щорічна,2019,Дубінська Світлана Вікторівна,Апарат Верховної Ради України,Помічник-консультант народного депутата України,,,Ні,16.0,Громадська організація Антикорупційна Платформа Інтегріті ЮА,Громадське об’єднання,42320240,Правління,Керівні органи,дубінська світлана вікторівна апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_2add51cd-70ee-48a2-9538-fb3ae69fc48a,2020-02-03 16:25:37,466.0,Щорічна,2019,Мацола Роман Миколайович,Верховна Рада України,Народний депутат,Посада державної служби,А,Ні,16.0,"Об'єднання співвласників багатоквартирного будинку ""Люкс Плюс""",Громадське об’єднання,37123109,org,org,мацола роман миколайович верховна рада україни народний депутат,1
nacp_2add51cd-70ee-48a2-9538-fb3ae69fc48a,2020-02-03 16:25:37,466.0,Щорічна,2019,Мацола Роман Миколайович,Верховна Рада України,Народний депутат,Посада державної служби,А,Ні,16.0,"""ГРОМАДЯНСЬКА ІНІЦІАТИВА РОМАНА МАЦОЛИ ""ІНСТИТУТ СОЛІДАРНОСТІ ГРОМАД""",Громадське об’єднання,39902661,Правління,Керівні органи,мацола роман миколайович верховна рада україни народний депутат,1
nacp_f7a733c4-40ee-4f0f-9733-0dca306bbd4e,2020-02-05 23:02:04,465.0,Щорічна,2019,Ширяєв Геннадій Олександрович,пенсіонер,кандидат в народні депутати України,Посадова особа юридичної особи публічного права,,Ні,16.0,ВСЛІ Чорнобиль -86,Громадське об’єднання,26409181,Голова,Керівні органи,ширяєв геннадій олександрович пенсіонер кандидат в народні депутати україни,1
nacp_f7a733c4-40ee-4f0f-9733-0dca306bbd4e,2020-02-05 23:02:04,465.0,Щорічна,2019,Ширяєв Геннадій Олександрович,пенсіонер,кандидат в народні депутати України,Посадова особа юридичної особи публічного права,,Ні,16.0,Політична партія Справедливості та розвитку,Громадське об’єднання,20078843,org,org,ширяєв геннадій олександрович пенсіонер кандидат в народні депутати україни,1
nacp_3261e6c0-65e0-4884-b571-284cfc75b3b4,2020-02-06 09:37:38,625.0,Щорічна,2019,Куліченко Іван Іванович,Верховна Рада України,Народний депутат України 8 скликання,Посада державної служби,А,Ні,16.0,Дніпропетровський общинний фонд,Громадське об’єднання,26461282,org,org,куліченко іван іванович верховна рада україни народний депутат україни 8 скликання,1
nacp_a5dbc24e-052b-4ca8-8042-a3aa4272bf4b,2020-02-06 11:44:22,291.0,Щорічна,2019,Бондар Михайло Леонтійович,Верховна Рада України,Народний депутат України,,,Ні,16.0,"БО БФ МИХАЙЛА БОНДАРА БОРЕМОСЬ, ПЕРЕМАГАЄМО",Благодійна організація,42130029,"БО БФ МИХАЙЛА БОНДАРА БОРЕМОСЬ, ПЕРЕМАГАЄМО",Керівні органи,бондар михайло леонтійович верховна рада україни народний депутат україни,1
nacp_a5dbc24e-052b-4ca8-8042-a3aa4272bf4b,2020-02-06 11:44:22,291.0,Щорічна,2019,Бондар Михайло Леонтійович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Всеукраїнська організація Самооборона Майдану,Громадське об’єднання,39344056,org,org,бондар михайло леонтійович верховна рада україни народний депутат україни,1
nacp_22b02533-e9ec-441d-bb76-cb5e945051d6,2020-02-07 14:27:17,612.0,Щорічна,2019,Нерода Юлія Юріївна,Апарат Верховної Ради України,Помічник-консультант народного депутата України,,,Ні,16.0,Громадська організація Агенція юридичного консалтингу,Громадське об’єднання,41008603,Правління,Керівні органи,нерода юлія юріївна апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_22b02533-e9ec-441d-bb76-cb5e945051d6,2020-02-07 14:27:17,612.0,Щорічна,2019,Нерода Юлія Юріївна,Апарат Верховної Ради України,Помічник-консультант народного депутата України,,,Ні,16.0,Громадська організація Ліга земельних експертів територіальних громад України,Громадське об’єднання,41001503,org,org,нерода юлія юріївна апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_1fa62119-8aa6-4b1b-8d0e-858a96734aa2,2020-02-17 11:31:58,694.0,Щорічна,2019,Сапун Сергій Васильович,"Апарат Верховної Ради України, ",помічник-консультант народного депутата України,,,Ні,16.0,"ГО садівницьке товариство ""Пролісок""",Громадське об’єднання,35402103,org,org,"сапун сергій васильович апарат верховної ради україни,  помічник-консультант народного депутата україни",1
nacp_1fa62119-8aa6-4b1b-8d0e-858a96734aa2,2020-02-17 11:31:58,694.0,Щорічна,2019,Сапун Сергій Васильович,"Апарат Верховної Ради України, ",помічник-консультант народного депутата України,,,Ні,16.0,"Обслуговуючий кооператив ""ЖК НАУКОВИЙ""",Громадське об’єднання,41148688,org,org,"сапун сергій васильович апарат верховної ради україни,  помічник-консультант народного депутата україни",1
nacp_1fa62119-8aa6-4b1b-8d0e-858a96734aa2,2020-02-17 11:31:58,694.0,Щорічна,2019,Сапун Сергій Васильович,"Апарат Верховної Ради України, ",помічник-консультант народного депутата України,,,Ні,16.0,"Політична партія ""Партія регіонів""",Громадське об’єднання,14282829,org,org,"сапун сергій васильович апарат верховної ради україни,  помічник-консультант народного депутата україни",1
nacp_55eee4e2-e6e3-463d-8289-7a5868ab5345,2020-02-18 16:04:48,637.0,Щорічна,2019,Жирівський Михайло Дем'янович,Управління справами апарату Верховної Ради України,помічник-консультант народного депутата України Богданця А.В.,Посадова особа юридичної особи публічного права,,Ні,16.0,Громадська організація 'Юридичний центр 'Конфіденс',Громадське об’єднання,38645714,Член правління,Керівні органи,жирівський михайло дем'янович управління справами апарату верховної ради україни помічник-консультант народного депутата україни богданця а.в.,1
nacp_84413017-438b-4dbb-a34c-e01ecc360404,2020-02-21 09:37:33,588.0,Щорічна,2019,Кропивницький Віталій Вікторович,Апарат Верховної Ради України,помічник-консультант Народного депутата України,,,Ні,16.0,Благодійний фонд Волонтери Городоччини,Благодійна організація,39819170,Благодійний фонд,Наглядові органи,кропивницький віталій вікторович апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_84413017-438b-4dbb-a34c-e01ecc360404,2020-02-21 09:37:33,588.0,Щорічна,2019,Кропивницький Віталій Вікторович,Апарат Верховної Ради України,помічник-консультант Народного депутата України,,,Ні,16.0,Національна асоціація адвокатів України - призупинено право на зайняття адвокатською діяльністю,Саморегулівне чи самоврядне професійне об’єднання,39029210,org,org,кропивницький віталій вікторович апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_e38c23f2-b60a-4ac1-b8a0-30ddabd9de85,2020-02-27 21:01:35,399.0,Щорічна,2019,Калетнік Василь Васильович,Верховна Рада України,народний депутат України,,,Ні,16.0,СВІДОМА ГРОМАДСЬКІСТЬ,Громадське об’єднання,39786643,org,org,калетнік василь васильович верховна рада україни народний депутат україни,1
nacp_e38c23f2-b60a-4ac1-b8a0-30ddabd9de85,2020-02-27 21:01:35,399.0,Щорічна,2019,Калетнік Василь Васильович,Верховна Рада України,народний депутат України,,,Ні,16.0,Незалежний центр політичних студій та аналітики Свідомінформ,Громадське об’єднання,43313516,org,org,калетнік василь васильович верховна рада україни народний депутат україни,1
nacp_2609de5e-5799-40c2-a5fb-5bd5f73e735f,2020-03-02 16:55:30,553.0,Щорічна,2019,Мішегліна Валерія Миколаївна,Апарат Верховної Ради України,Помічник-консультант народного депутата України,,,Ні,16.0,Центр українсько-європейського наукового співробітництва,Громадське об’єднання,38017106,org,org,мішегліна валерія миколаївна апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_2609de5e-5799-40c2-a5fb-5bd5f73e735f,2020-03-02 16:55:30,553.0,Щорічна,2019,Мішегліна Валерія Миколаївна,Апарат Верховної Ради України,Помічник-консультант народного депутата України,,,Ні,16.0,Асоціація правників України,Громадське об’єднання,26334715,org,org,мішегліна валерія миколаївна апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_2609de5e-5799-40c2-a5fb-5bd5f73e735f,2020-03-02 16:55:30,553.0,Щорічна,2019,Мішегліна Валерія Миколаївна,Апарат Верховної Ради України,Помічник-консультант народного депутата України,,,Ні,16.0,Союз юристів України,Громадське об’єднання,14290131,org,org,мішегліна валерія миколаївна апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_2609de5e-5799-40c2-a5fb-5bd5f73e735f,2020-03-02 16:55:30,553.0,Щорічна,2019,Мішегліна Валерія Миколаївна,Апарат Верховної Ради України,Помічник-консультант народного депутата України,,,Ні,16.0,Благодійний фонд - Перша загальноосвітня духовно-просвітницька школа,Благодійна організація,41332453,Власник,Керівні органи,мішегліна валерія миколаївна апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_a87129a5-a3d0-4c08-89ff-7419e843855e,2020-03-03 10:54:53,400.0,Щорічна,2019,Макаренко Михайло Васильович,Верховна Рада України,Народний депутат України,,,Ні,16.0,"Громадська організація ""Фонд сприяння розвитку акушерської допомоги ім. С.В.Берчика""",Громадське об’єднання,26345446,org,org,макаренко михайло васильович верховна рада україни народний депутат україни,1
nacp_a87129a5-a3d0-4c08-89ff-7419e843855e,2020-03-03 10:54:53,400.0,Щорічна,2019,Макаренко Михайло Васильович,Верховна Рада України,Народний депутат України,,,Ні,16.0,"Благодійний фонд ""Підтримки материнства, дитинства та радіологічної безпеки""",Благодійна організація,38619286,Керівник,Керівні органи,макаренко михайло васильович верховна рада україни народний депутат україни,1
nacp_abc1945f-72a8-493c-a419-c776ebe16d34,2020-03-03 19:51:58,652.0,Щорічна,2019,Барков Ярослав Михайлович,Управління справами Апарату Верховної Ради України,Помічник-консультант народного депутата України,,,Ні,16.0,ПРОФЕШЕНАЛ ГАВЕРМЕНТ,Громадське об’єднання,40224612,org,org,барков ярослав михайлович управління справами апарату верховної ради україни помічник-консультант народного депутата україни,1
nacp_aa7d2979-7c44-41af-88dd-01231e84811f,2020-03-06 14:12:57,587.0,Щорічна,2019,Медведовський Євгеній Валерійович,Апарат Верховної Ради України,помічник-консультант народного депутата України,Посадова особа юридичної особи публічного права,,Ні,16.0,"ГО ""НАШ ДІМ - КРЕМЕНЧУК""",Громадське об’єднання,41526134,org,org,медведовський євгеній валерійович апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_aa7d2979-7c44-41af-88dd-01231e84811f,2020-03-06 14:12:57,587.0,Щорічна,2019,Медведовський Євгеній Валерійович,Апарат Верховної Ради України,помічник-консультант народного депутата України,Посадова особа юридичної особи публічного права,,Ні,16.0,ВІЛЬНА ПРОФСПІЛКА МІСТА КРЕМЕНЧУКА,Саморегулівне чи самоврядне професійне об’єднання,25867645,org,org,медведовський євгеній валерійович апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_aa7d2979-7c44-41af-88dd-01231e84811f,2020-03-06 14:12:57,587.0,Щорічна,2019,Медведовський Євгеній Валерійович,Апарат Верховної Ради України,помічник-консультант народного депутата України,Посадова особа юридичної особи публічного права,,Ні,16.0,"ППО ПКП ""КРЕМЕНЧУКВОДОКАНАЛ"" ",Саморегулівне чи самоврядне професійне об’єднання,40377907,Профспілковий комітет,Керівні органи,медведовський євгеній валерійович апарат верховної ради україни помічник-консультант народного депутата україни,1
nacp_ab3690a2-ae43-48a8-b4ba-d124c3b6098f,2020-03-09 19:19:29,635.0,Щорічна,2019,Дмитрієв Юрій Валерійович,Апарат Верховної Ради України ,помічник-консультант народного депутата України ,,,Ні,16.0,Національна асоціація адвокатів України ,Саморегулівне чи самоврядне професійне об’єднання,38488439,org,org,дмитрієв юрій валерійович апарат верховної ради україни  помічник-консультант народного депутата україни ,1
nacp_e5299a70-af1d-4753-b9e0-7bf6394bc2be,2020-03-10 21:45:55,430.0,Щорічна,2019,Щербатий Петро Петрович,Апарат Верховної Ради України,"помічник-консультант народного депутата України, депутат Чабанівської селищної ради ",,,Ні,16.0,"""НАЦІОНАЛЬНА АСОЦІАЦІЯ АДВОКАТІВ УКРАЇНИ""",Саморегулівне чи самоврядне професійне об’єднання,38488439,org,org,"щербатий петро петрович апарат верховної ради україни помічник-консультант народного депутата україни, депутат чабанівської селищної ради ",1
nacp_e5299a70-af1d-4753-b9e0-7bf6394bc2be,2020-03-10 21:45:55,430.0,Щорічна,2019,Щербатий Петро Петрович,Апарат Верховної Ради України,"помічник-консультант народного депутата України, депутат Чабанівської селищної ради ",,,Ні,16.0,СОЮЗ ЮРИСТІВ УКРАЇНИ,Громадське об’єднання,14290131,org,org,"щербатий петро петрович апарат верховної ради україни помічник-консультант народного депутата україни, депутат чабанівської селищної ради ",1
nacp_e47cd92a-792e-4c3d-88e9-bf18d283c6aa,2020-03-11 19:56:56,726.0,Щорічна,2019,Висоцький Артем Миколайович,Управління справами Апарату Верховної Ради України,помічник-консультант народного депутата ,,,Ні,16.0,ВСЕУКРАЇНСЬКИЙ БЛАГОДІЙНИЙ ФОНД СПРАВЖНЬОЇ БОРОТЬБИ З РАКОМ,Благодійна організація,39739462,org,org,висоцький артем миколайович управління справами апарату верховної ради україни помічник-консультант народного депутата ,1
nacp_7fd3224d-e3d8-4f20-b23b-2db241ce90ab,2020-03-13 00:51:48,447.0,Щорічна,2019,Захарченко Анастасія Володимирівна,Верховна Рада України,Помічник народного депутата,Посада державної служби,В,Ні,16.0,УМР,Громадське об’єднання,41670536,org,org,захарченко анастасія володимирівна верховна рада україни помічник народного депутата,1
nacp_c0f25e37-b40d-4106-8b6d-b0dfc79ac660,2020-03-13 10:28:28,570.0,Щорічна,2019,Тімофєєв Павло Анатолійович,Управління справами Апарату Верховної Ради України,помічник-консультант народного депутата України,,,Ні,16.0,"Молодіжна громадська організація ""Євроклуб-Мелітополь""",Громадське об’єднання,26074792,org,org,тімофєєв павло анатолійович управління справами апарату верховної ради україни помічник-консультант народного депутата україни,1
nacp_c0f25e37-b40d-4106-8b6d-b0dfc79ac660,2020-03-13 10:28:28,570.0,Щорічна,2019,Тімофєєв Павло Анатолійович,Управління справами Апарату Верховної Ради України,помічник-консультант народного депутата України,,,Ні,16.0,"БЛАГОДІЙНА ОРГАНІЗАЦІЯ ""РІДНЕ МІСТО-МЕЛІТОПОЛЬ""",Благодійна організація,35238602,org,org,тімофєєв павло анатолійович управління справами апарату верховної ради україни помічник-консультант народного депутата україни,1
nacp_c0f25e37-b40d-4106-8b6d-b0dfc79ac660,2020-03-13 10:28:28,570.0,Щорічна,2019,Тімофєєв Павло Анатолійович,Управління справами Апарату Верховної Ради України,помічник-консультант народного депутата України,,,Ні,16.0,"БЛАГОДІЙНА ОРГАНІЗАЦІЯ ""МЕЛІТОПОЛЬСЬКЕ АГЕНТСТВО РЕГІОНАЛЬНОГО РОЗВИТКУ""",Благодійна організація,36969131,org,org,тімофєєв павло анатолійович управління справами апарату верховної ради україни помічник-консультант народного депутата україни,1
nacp_c0f25e37-b40d-4106-8b6d-b0dfc79ac660,2020-03-13 10:28:28,570.0,Щорічна,2019,Тімофєєв Павло Анатолійович,Управління справами Апарату Верховної Ради України,помічник-консультант народного депутата України,,,Ні,16.0,"БЛАГОДІЙНА ОРГАНІЗАЦІЯ ""ДОБРИЙ МЕЛІТОПОЛЬ""",Благодійна організація,38363282,Заступник голови правління,Керівні органи,тімофєєв павло анатолійович управління справами апарату верховної ради україни помічник-консультант народного депутата україни,1
nacp_9ba97e73-f0c6-4a93-97dd-2b2c2838ece8,2020-03-13 10:28:40,396.0,Щорічна,2019,Герасименко Ігор Леонідович,Верховна Рада України,Народний депутат України,,,Ні,16.0,ГРОМАДСЬКА ОРГАНІЗАЦІЯ АЛЬЯНС УЧАСНИКІВ БОЙОВИХ ДІЙ,Громадське об’єднання,41958619,org,org,герасименко ігор леонідович верховна рада україни народний депутат україни,1
nacp_241d86d4-5631-4360-bcb2-3ff3eaf0de52,2020-03-13 11:38:20,263.0,Щорічна,2019,Касай Костянтин Іванович,Верховна Рада України,Народний депутат України,,,Так,16.0,Асоціація Дорожників Полтавщини,Громадське об’єднання,42648538,org,org,касай костянтин іванович верховна рада україни народний депутат україни,1
