org_id,org_name,counts
38488439,Національна асоціація адвокатів України,30
43194256,Громадська організація Я українець - мені не все одно,3
43297484,Благодійний фонд Я українець - мені не все одно,3
42654646,Громадська організація Олексія Леонова Я Одесит - мені не все одно,3
40224612,ПРОФЕШЕНАЛ ГАВЕРМЕНТ,3
37313251,"ГО ""Асоціація випускників ""Аспен-Україна""",3
39397003,Громадська організація ЛЮДИ МАЙБУТНЬОГО,2
39344056,Всеукраїнська організація Самооборона Майдану,3
14360127,МОЛОДІЖНА ОРГАНІЗАЦІЯ ПЛАСТ-НАЦІОНАЛЬНА СКАУТСЬКА ОРГАНІЗАЦІЯ УКРАЇНИ,4
26334715,ВСЕУКРАЇНСЬКА ГРОМАДСЬКА ОРГАНІЗАЦІЯ АСОЦІАЦІЯ ПРАВНИКІВ УКРАЇНИ,8
39634331,ПОЛІТИЧНА ПАРТІЯ РУХ НОВИХ СИЛ МИХАЙЛА СААКАШВІЛІ,2
42171490,Первинна профспілкова організація Міністерства юстиції України,2
39639214,"Громадська організація ""СІЧ-С14""",1
00013238,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""НАЦІОНАЛЬНИЙ ОЛІМПІЙСЬКИЙ КОМІТЕТ УКРАЇНИ""",2
39640992,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ВІЙСЬКОВО-ПАТРИОТИЧНИЙ КЛУБ ""АЙДАР""",1
39641307,НОВИЙДОНБАС,1
39663083,Благодійна організація МІЖНАРОДНИЙ БЛАГОДІЙНИЙ ФОНД ПЕРЛИНА ГАЛИЧИНИ,1
39588595,Я - Волноваха,1
39699802,"Громадська організація ""Агенція місцевого економічного розвитку Кам’янка-бузького району""",1
39704780,ГРОМАДСЬКА ОРГАНІЗАЦІЯ БІРЖА МОЛОДІЖНИХ ПРОЕКТІВ,2
39707184,ЦЕНТР CХІДНОЄВРОПЕЙСЬКИХ ІНІЦІАТИВ,2
39667393,Громадська організація Неподільна Україна,1
39581160,"БЛАГОДІЙНА ОРГАНІЗАЦІЯ ""БЛАГОДІЙНИЙ ФОНД СЕМЕНА СЕМЕНЧЕНКА""",1
39587774,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""МІЖНАРОДНИЙ ЦЕНТР СТРАТЕГІЧНОЇ ПОЛІТИКИ""",1
39582430,"ГО ""ВПО ""Юридична Сотня""",1
39712346,"Громадська організація ""Об'єднання наша спільна справа"" ",1
39576165,"""Всеукраїнська мережа ""Вільні люди""",1
39575549,ГРОМАДСЬКА ОРГАНІЗАЦІЯ АСОЦІАЦІЯ ПРОФЕСІОНАЛІВ КОРПОРАТИВНОЇ БЕЗПЕКИ УКРАЇНИ,1
39573688,ГРОМАДСЬКА ОРГАНІЗАЦІЯ 'ЄВРОПЕЙСЬКА АСОЦІАЦІЯ ЗООЛОГІЧНИХ ОРГАНІЗАЦІЙ',1
39572134,ГРОМАДСЬКА ОРГАНІЗАЦІЯ КРАЩИЙ СИХІВ,1
39562189,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ГРОМАДСЬКА РАДА СМАРТ-СІТІ""",1
39559637,"Благодійна організація ""Всеукраїнський Фонд Домомоги Родинам Українських Героїв ""ДРУГ""",1
39550791,Благодійна організація Благодійний фонд Рудика Сергія Ярославовича,1
39497047,ФОНД ПОЗИВНИЙ ГОРИНИЧ,1
39488907,"""ТВОРЧЕ ОБ'ЄДНАННЯ ""ВАВИЛОН 13""",1
39784206,"ГО ""Рішучі громадяни""",1
39723908,Рідна Яворівщина,1
39730056,"""МИ - АРМІЯ УКРАЇНИ""",1
40087815,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ПЕРШИЙ КОЗАЦЬКИЙ ПОЛК ""ЗАПОРІЗСЬКА СІЧ""",1
40070581,"Громадська організація ""Госпітальєри""",1
40054313,"""МІЖНАРОДНИЙ БЛАГОДІЙНИЙ ФОНД БРАТІВ КУЗЬМІНИХ""",1
40034391,"ГРОМАДСЬКЕ ФОРМУВАННЯ З ОХОРОНИ ГРОМАДСЬКОГО ПОРЯДКУ ""ПОДІЛЛЯ""",1
40025078,Благодійний фонд Ткачук ,1
39986390,"громадська організація ""Всеукраїнська спілка учасників АТО, бойових дій та миротворчих місій"" відокремлений підрозділ м. Кременчук Полтавської області",1
39982684,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ФУДЗАЛЬНИЙ КЛУБ ПРОДЕКСІМ,1
39931425,Релігійна громада Парафія Преподобної Мучениці Євгенії Черкаської Єпархії Української Православної церкви Київського Патріархату м. Сміла,1
39927225,Політична партія Українська православна асамблея,1
